,index,ga:country,ga:pagePath,ga:landingPagePath,ga:secondPagePath,ga:exitPagePath,ga:previousPagePath,ga:pageviews
495592,495595,United States,academy-asodesk-com.translate.goog/,academy-asodesk-com.translate.goog/,(not set),academy-asodesk-com.translate.goog/,(entrance),1.0
495593,495596,United States,academy-asodesk-com.translate.goog/aso-course,academy-asodesk-com.translate.goog/aso-course,(not set),academy-asodesk-com.translate.goog/aso-course,(entrance),4.0
241963,241963,Russia,asodesk.com/blog/,academy.asodesk.com/,academy.asodesk.com/,asodesk.com/blog/how-to-choose-countries-for-promotion-in-app-store-search/,asodesk.com/,1.0
459018,459021,Ukraine,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/,1.0
459019,459022,Ukraine,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/,(entrance),3.0
459020,459023,Ukraine,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/,academy.asodesk.com/,1.0
459021,459024,Ukraine,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/,academy.asodesk.com/aso-course,2.0
459022,459025,Ukraine,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/,1.0
459023,459026,Ukraine,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/blog/everything-you-need-to-know-for-an-aso-specialist/,ru.asodesk.com/blog/everything-you-need-to-know-for-an-aso-specialist/,(entrance),1.0
459024,459027,Ukraine,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/blog/how-to-choose-countries-to-promote-in-app-store-search/,ru.asodesk.com/blog/how-to-choose-countries-to-promote-in-app-store-search/,(entrance),1.0
459025,459028,Ukraine,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/blog/tag/aso-академия/,ru.asodesk.com/blog/how-and-why-to-become-an-aso-specialist/,(entrance),1.0
459028,459031,Ukraine,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/free-video-course,ru.asodesk.com/free-video-course,(entrance),2.0
459027,459030,Ukraine,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/email_course,ru.asodesk.com/email_course,(entrance),2.0
459017,459020,Ukraine,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,1.0
459029,459032,Ukraine,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/knowledge,ru.asodesk.com/blog/tips-on-how-to-create-app-screenshots-and-video/,(entrance),1.0
459030,459033,Ukraine,academy.asodesk.com/aso-course,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/aso-course,academy.asodesk.com/,1.0
459031,459034,Ukraine,academy.asodesk.com/aso-course,academy.asodesk.com/,academy.asodesk.com/aso-course,academy.asodesk.com/,academy.asodesk.com/,7.0
459032,459035,Ukraine,academy.asodesk.com/aso-course,academy.asodesk.com/,academy.asodesk.com/aso-course,academy.asodesk.com/aso-course,academy.asodesk.com/,61.0
459033,459036,Ukraine,academy.asodesk.com/aso-course,academy.asodesk.com/,academy.asodesk.com/aso-course,academy.asodesk.com/aso-course,academy.asodesk.com/aso-course,5.0
459034,459037,Ukraine,academy.asodesk.com/aso-course,academy.asodesk.com/,academy.asodesk.com/aso-course,academy.asodesk.com/aso-course,ru.asodesk.com/pricing,1.0
459035,459038,Ukraine,academy.asodesk.com/aso-course,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/,academy.asodesk.com/,3.0
459036,459039,Ukraine,academy.asodesk.com/aso-course,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/,academy.asodesk.com/aso-course,1.0
459026,459029,Ukraine,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/blog/tag/aso-академия/,ru.asodesk.com/blog/tag/aso-академия/,(entrance),1.0
459016,459019,Ukraine,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/,academy.asodesk.com/,(entrance),1.0
459015,459018,Ukraine,academy.asodesk.com/,academy.asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/jp/app/1499198946/statistics,(entrance),1.0
459014,459017,Ukraine,academy.asodesk.com/,academy.asodesk.com/,asodesk.com/hacks,ru.asodesk.com/hacks,asodesk.com/hacks,1.0
495600,495603,United States,academy.asodesk.com/aso-course,academy.asodesk.com/,academy.asodesk.com/aso-course,academy.asodesk.com/aso-course,academy.asodesk.com/,6.0
495599,495602,United States,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/pricing,(entrance),1.0
495598,495601,United States,academy.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/,academy.asodesk.com/reviews-course,(entrance),1.0
495597,495600,United States,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/aso-course,academy.asodesk.com/aso-course,(entrance),5.0
495596,495599,United States,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,35.0
495595,495598,United States,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,(entrance),34.0
495594,495597,United States,academy.asodesk.com/,academy.asodesk.com/,(not set),academy.asodesk.com/,(entrance),43.0
458998,459001,Ukraine,academy.asodesk.com/,academy.asodesk.com/,(not set),academy.asodesk.com/,(entrance),68.0
458999,459002,Ukraine,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,(entrance),16.0
459000,459003,Ukraine,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,17.0
459001,459004,Ukraine,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/aso-course,(entrance),1.0
459002,459005,Ukraine,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/aso-course,academy.asodesk.com/,1.0
459003,459006,Ukraine,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,asodesk.com/email_course,(entrance),1.0
459004,459007,Ukraine,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,asodesk.com/email_course,academy.asodesk.com/,1.0
459005,459008,Ukraine,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/aso-course,academy.asodesk.com/,(entrance),7.0
459006,459009,Ukraine,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/aso-course,academy.asodesk.com/,academy.asodesk.com/aso-course,6.0
459007,459010,Ukraine,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/aso-course,academy.asodesk.com/aso-course,(entrance),60.0
459008,459011,Ukraine,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/,(entrance),3.0
459009,459012,Ukraine,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/blog/,(entrance),1.0
459010,459013,Ukraine,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/free-video-course,(entrance),2.0
459011,459014,Ukraine,academy.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/keyword-boost,(entrance),1.0
459012,459015,Ukraine,academy.asodesk.com/,academy.asodesk.com/,asodesk.com/,hq.asodesk.com/ua/,(entrance),1.0
459013,459016,Ukraine,academy.asodesk.com/,academy.asodesk.com/,asodesk.com/hacks,ru.asodesk.com/hacks,(entrance),1.0
459037,459040,Ukraine,academy.asodesk.com/aso-course,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/blog/,academy.asodesk.com/,2.0
459038,459041,Ukraine,academy.asodesk.com/aso-course,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/email_course,academy.asodesk.com/,1.0
459039,459042,Ukraine,academy.asodesk.com/aso-course,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/free-video-course,academy.asodesk.com/,2.0
459040,459043,Ukraine,academy.asodesk.com/aso-course,academy.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/,academy.asodesk.com/,3.0
459070,459073,Ukraine,ru.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/blog/,academy.asodesk.com/aso-course,1.0
459071,459074,Ukraine,ru.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/,1.0
459072,459075,Ukraine,ru.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/,academy.asodesk.com/,5.0
459073,459076,Ukraine,ru.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/,academy.asodesk.com/aso-course,1.0
459074,459077,Ukraine,ru.asodesk.com/blog/,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/blog/,ru.asodesk.com/knowledge,2.0
459075,459078,Ukraine,ru.asodesk.com/blog/,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/keyword-boost,ru.asodesk.com/calendar-2022,1.0
459076,459079,Ukraine,ru.asodesk.com/blog/aso-conference-2021-recap/,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/blog/aso-conference-2021-recap/,academy.asodesk.com/aso-course,1.0
459077,459080,Ukraine,ru.asodesk.com/blog/everything-you-need-to-know-for-an-aso-specialist/,academy.asodesk.com/,ru.asodesk.com/blog/everything-you-need-to-know-for-an-aso-specialist/,ru.asodesk.com/blog/everything-you-need-to-know-for-an-aso-specialist/,academy.asodesk.com/,1.0
459078,459081,Ukraine,ru.asodesk.com/blog/how-and-why-to-become-an-aso-specialist/,academy.asodesk.com/,ru.asodesk.com/blog/tag/aso-академия/,ru.asodesk.com/blog/how-and-why-to-become-an-aso-specialist/,ru.asodesk.com/blog/tag/aso-академия/,1.0
459079,459082,Ukraine,ru.asodesk.com/blog/how-to-optimize-your-android-app-description-for-google/,academy.asodesk.com/,ru.asodesk.com/knowledge,ru.asodesk.com/blog/tips-on-how-to-create-app-screenshots-and-video/,ru.asodesk.com/email_course,1.0
459080,459083,Ukraine,ru.asodesk.com/blog/tag/aso-академия/,academy.asodesk.com/,ru.asodesk.com/blog/tag/aso-академия/,ru.asodesk.com/blog/how-and-why-to-become-an-aso-specialist/,academy.asodesk.com/,1.0
459069,459072,Ukraine,ru.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/,academy.asodesk.com/aso-course,2.0
459081,459084,Ukraine,ru.asodesk.com/blog/tag/google-play/,academy.asodesk.com/,ru.asodesk.com/knowledge,ru.asodesk.com/blog/tips-on-how-to-create-app-screenshots-and-video/,ru.asodesk.com/blog/how-to-optimize-your-android-app-description-for-google/,1.0
459083,459086,Ukraine,ru.asodesk.com/calendar-2021,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/blog/,ru.asodesk.com/email_course,1.0
459084,459087,Ukraine,ru.asodesk.com/calendar-2022,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/keyword-boost,ru.asodesk.com/calendar-2021,1.0
459085,459088,Ukraine,ru.asodesk.com/contact_us,academy.asodesk.com/,academy.asodesk.com/aso-course,academy.asodesk.com/aso-course,academy.asodesk.com/aso-course,1.0
459086,459089,Ukraine,ru.asodesk.com/email-course,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/blog/,ru.asodesk.com/blog/,1.0
459087,459090,Ukraine,ru.asodesk.com/email-course,academy.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/,1.0
459088,459091,Ukraine,ru.asodesk.com/email-course,academy.asodesk.com/,ru.asodesk.com/knowledge,ru.asodesk.com/blog/tips-on-how-to-create-app-screenshots-and-video/,ru.asodesk.com/free-video-course,1.0
459089,459092,Ukraine,ru.asodesk.com/email_course,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/email_course,academy.asodesk.com/aso-course,1.0
459090,459093,Ukraine,ru.asodesk.com/email_course,academy.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/email-course,1.0
459091,459094,Ukraine,ru.asodesk.com/email_course,academy.asodesk.com/,ru.asodesk.com/email_course,ru.asodesk.com/email_course,academy.asodesk.com/,2.0
459092,459095,Ukraine,ru.asodesk.com/email_course,academy.asodesk.com/,ru.asodesk.com/knowledge,ru.asodesk.com/blog/tips-on-how-to-create-app-screenshots-and-video/,ru.asodesk.com/email-course,1.0
459093,459096,Ukraine,ru.asodesk.com/free-video-course,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/blog/,ru.asodesk.com/,1.0
459082,459085,Ukraine,ru.asodesk.com/blog/tips-on-how-to-create-app-screenshots-and-video/,academy.asodesk.com/,ru.asodesk.com/knowledge,ru.asodesk.com/blog/tips-on-how-to-create-app-screenshots-and-video/,ru.asodesk.com/blog/tag/google-play/,1.0
459068,459071,Ukraine,ru.asodesk.com/,academy.asodesk.com/,academy.asodesk.com/aso-course,academy.asodesk.com/,academy.asodesk.com/aso-course,1.0
459067,459070,Ukraine,hq.asodesk.com/us/app/1499198946/keyword_explorer,academy.asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/jp/app/1499198946/statistics,hq.asodesk.com/us/app/1499198946/keyword_explorer,1.0
459066,459069,Ukraine,hq.asodesk.com/us/,academy.asodesk.com/,asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/us/,1.0
459041,459044,Ukraine,academy.asodesk.com/aso-course,academy.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/,academy.asodesk.com/aso-course,1.0
459042,459045,Ukraine,academy.asodesk.com/reviews-course,academy.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/,academy.asodesk.com/,1.0
459043,459046,Ukraine,asodesk.com/free-video-course,academy.asodesk.com/,academy.asodesk.com/,asodesk.com/email_course,asodesk.com/,1.0
459044,459047,Ukraine,asodesk.com/hacks,academy.asodesk.com/,academy.asodesk.com/,asodesk.com/email_course,asodesk.com/free-video-course,1.0
459045,459048,Ukraine,asodesk.com/hacks,academy.asodesk.com/,asodesk.com/hacks,ru.asodesk.com/hacks,academy.asodesk.com/,1.0
459046,459049,Ukraine,asodesk.com/hacks,academy.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/email_course,1.0
459047,459050,Ukraine,asodesk.com/pricing,academy.asodesk.com/,asodesk.com/,asodesk.com/,asodesk.com/,1.0
459048,459051,Ukraine,hq.asodesk.com/accounts/signup/,academy.asodesk.com/,hq.asodesk.com/accounts/signup/,hq.asodesk.com/accounts/signup/,hq.asodesk.com/accounts/signup/,7.0
459049,459052,Ukraine,hq.asodesk.com/cn/app/1576351038/keyword_explorer,academy.asodesk.com/,asodesk.com/,hq.asodesk.com/cn/app/1576351038/statistics,hq.asodesk.com/cn/app/1576351038/keyword_explorer,1.0
459050,459053,Ukraine,hq.asodesk.com/cn/app/1576351038/statistics,academy.asodesk.com/,asodesk.com/,hq.asodesk.com/cn/app/1576351038/statistics,hq.asodesk.com/cn/app/1576351038/keyword_explorer,1.0
459051,459054,Ukraine,hq.asodesk.com/jp/app/1422994973/,academy.asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/jp/app/1499198946/statistics,hq.asodesk.com/jp/app/1499198946/keyword_explorer,1.0
459052,459055,Ukraine,hq.asodesk.com/jp/app/1499198946/keyword_explorer,academy.asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/jp/app/1499198946/statistics,hq.asodesk.com/jp/app/1499198946/keyword_explorer,1.0
459053,459056,Ukraine,hq.asodesk.com/jp/app/1499198946/keyword_explorer,academy.asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/jp/app/1499198946/statistics,hq.asodesk.com/us/app/1499198946/keyword_explorer,1.0
459054,459057,Ukraine,hq.asodesk.com/jp/app/1499198946/keyword_explorer,academy.asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/jp/app/1499198946/statistics,hq.asodesk.com/jp/app/1499198946/keyword_explorer,1.0
459055,459058,Ukraine,hq.asodesk.com/jp/app/1499198946/keyword_explorer,academy.asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/jp/app/1499198946/statistics,hq.asodesk.com/jp/app/1499198946/statistics,1.0
459056,459059,Ukraine,hq.asodesk.com/jp/app/1499198946/statistics,academy.asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/jp/app/1499198946/statistics,hq.asodesk.com/jp/app/1422994973/,1.0
459057,459060,Ukraine,hq.asodesk.com/jp/app/1499198946/statistics,academy.asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/jp/app/1499198946/statistics,hq.asodesk.com/jp/app/1499198946/keyword_explorer,1.0
459058,459061,Ukraine,hq.asodesk.com/jp/app/1499198946/statistics,academy.asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/jp/app/1499198946/statistics,hq.asodesk.com/jp/app/1499198946/statistics,2.0
459059,459062,Ukraine,hq.asodesk.com/settings/billing/,academy.asodesk.com/,asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/settings/billing/,1.0
459060,459063,Ukraine,hq.asodesk.com/settings/profile,academy.asodesk.com/,asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/settings/profile,6.0
459061,459064,Ukraine,hq.asodesk.com/settings/profile,academy.asodesk.com/,asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/ua/,1.0
459062,459065,Ukraine,hq.asodesk.com/ua/,academy.asodesk.com/,asodesk.com/,hq.asodesk.com/cn/app/1576351038/statistics,hq.asodesk.com/ua/,4.0
459063,459066,Ukraine,hq.asodesk.com/ua/,academy.asodesk.com/,asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/ua/,2.0
459064,459067,Ukraine,hq.asodesk.com/ua/,academy.asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/jp/app/1499198946/statistics,academy.asodesk.com/,1.0
459065,459068,Ukraine,hq.asodesk.com/ua/,academy.asodesk.com/,hq.asodesk.com/ua/,hq.asodesk.com/jp/app/1499198946/statistics,hq.asodesk.com/ua/,1.0
495601,495604,United States,academy.asodesk.com/reviews-course,academy.asodesk.com/,ru.asodesk.com/,academy.asodesk.com/reviews-course,ru.asodesk.com/,1.0
495602,495605,United States,hq.asodesk.com/accounts/login/,academy.asodesk.com/,hq.asodesk.com/accounts/login/,hq.asodesk.com/us/app/1340882768/featured-reviews,academy.asodesk.com/,1.0
495604,495607,United States,ru.asodesk.com/,academy.asodesk.com/,ru.asodesk.com/,ru.asodesk.com/pricing,academy.asodesk.com/,1.0
459094,459097,Ukraine,ru.asodesk.com/free-video-course,academy.asodesk.com/,academy.asodesk.com/aso-course,ru.asodesk.com/blog/,ru.asodesk.com/calendar-2021,1.0
